Phase2.CSV,,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step15_usage,step2_usage,step3_usage,,,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.60057494,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[10.38702145474398, 23.440324589241953, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.40947476,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[9.263013278563847, 39.272900638872215, 6.692510355771565]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.03304303,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[10.617342500078552, 36.789276221887796, 6.692510355771565]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.9235678,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[10.007048402203575, 36.789276221887796, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.60057494,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[10.38702145474398, 23.440324589241953, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.40947476,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[9.263013278563847, 39.272900638872215, 6.692510355771565]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.03304303,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[10.617342500078552, 36.789276221887796, 6.692510355771565]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",17.9235678,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[10.007048402203575, 36.789276221887796, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.60057494,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[10.38702145474398, 23.440324589241953, 6.974378780516]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.22345334,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[8.811427065761448, 39.272900638872215, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.40706011,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[10.194823410926958, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.12190676,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[9.33936337289634, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.39833063,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[10.168634976158367, 23.440324589241953, 6.586032315422735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.22345334,"[1, 2, 1, 0, 2]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[8.811427065761448, 39.272900638872215, 6.586032315422735]",,,,,,,,,
